project,N,tp,fn,tn,fp,accuracy,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-weaver-2.0-src,232,129,25,30,48,0.6853,0.7795,0.8377,0.3846,0.6638,0.3362,0.5505,0.6622,0.1348,0.34,0.45,0.39
commons-jexl3-3.2.1-src,2946,1808,441,482,215,0.7773,0.8464,0.8039,0.6915,0.7634,0.2366,0.6449,0.7683,0.1324,0.27,0.45,0.35
commons-geometry-1.0-src,5438,3788,397,317,936,0.7549,0.8504,0.9051,0.253,0.7696,0.2304,0.6492,0.7724,0.1057,0.33,0.47,0.41
commons-rng-1.4-src,1641,1018,191,132,300,0.7008,0.8057,0.842,0.3056,0.7367,0.2633,0.6095,0.7341,0.0913,0.28,0.4,0.34
springside4,2590,1620,234,129,607,0.6753,0.7939,0.8738,0.1753,0.7158,0.2842,0.5928,0.7155,0.0825,0.25,0.36,0.31
async-http-client,163,101,15,6,41,0.6564,0.7829,0.8707,0.1277,0.7117,0.2883,0.5941,0.7145,0.0623,0.38,0.49,0.44
commons-beanutils-1.9.4,1708,917,86,72,633,0.579,0.7184,0.9143,0.1021,0.5872,0.4128,0.5183,0.5902,0.0607,0.24,0.4,0.3
commons-configuration2-2.8.0-src,1253,686,159,57,351,0.593,0.729,0.8118,0.1397,0.6744,0.3256,0.5504,0.6661,0.0426,0.28,0.44,0.35
commons-net-3.8.0,3369,1864,369,90,1046,0.58,0.7249,0.8348,0.0792,0.6628,0.3372,0.5567,0.6647,0.0233,0.32,0.35,0.34
commons-vfs-2.9.0,1072,607,173,73,219,0.6343,0.7559,0.7782,0.25,0.7276,0.2724,0.6119,0.7333,0.0224,0.33,0.45,0.4
commons-validator-1.7,2616,1925,298,70,323,0.7626,0.8611,0.8659,0.1781,0.8498,0.1502,0.744,0.8495,0.0186,0.28,0.37,0.32
commons-lang3-3.12.0-src,12118,9476,1210,198,1234,0.7983,0.8858,0.8868,0.1383,0.8818,0.1182,0.7882,0.8798,0.0101,0.2,0.35,0.27
commons-jcs3-3.1-src,4562,3231,709,172,450,0.7459,0.8479,0.8201,0.2765,0.8637,0.1363,0.7639,0.8632,-0.018,0.32,0.43,0.39
spark,5280,4326,561,67,326,0.832,0.907,0.8852,0.1705,0.9256,0.0744,0.8628,0.926,-0.0308,0.36,0.51,0.46
bcel-6.5.0-src,15379,9517,3276,518,2068,0.6525,0.7808,0.7439,0.2003,0.8318,0.1682,0.7221,0.833,-0.0696,0.28,0.45,0.36
commons-numbers-1.0-src,39866,34420,5197,20,229,0.8639,0.9269,0.8688,0.0803,0.9938,0.0062,0.9878,0.9939,-0.1239,0.16,0.29,0.26
scribejava,182,47,46,17,72,0.3516,0.4434,0.5054,0.191,0.511,0.489,0.5003,0.5118,-0.1487,0.32,0.46,0.39
commons-collections4-4.4-src,1389,823,394,36,136,0.6184,0.7564,0.6763,0.2093,0.8762,0.1238,0.7831,0.8762,-0.1647,0.45,0.46,0.46
joda-time,27480,19267,6441,323,1449,0.7129,0.83,0.7495,0.1823,0.9355,0.0645,0.8808,0.9363,-0.1679,0.29,0.49,0.44
commons-imaging-1.0-alpha3-src,2858,837,1443,106,472,0.33,0.4664,0.3671,0.1834,0.7978,0.2022,0.6758,0.7961,-0.3458,0.3,0.47,0.41
commons-dbutils-1.7,731,177,400,51,103,0.3119,0.4131,0.3068,0.3312,0.7893,0.2107,0.6596,0.7835,-0.3477,0.31,0.48,0.43
commons-pool2-2.11.1-src,11244,6484,4675,19,66,0.5784,0.7323,0.5811,0.2235,0.9924,0.0076,0.9844,0.9922,-0.406,0.41,0.54,0.51
jsoup,8002,2850,4634,77,441,0.3658,0.529,0.3808,0.1486,0.9353,0.0647,0.8752,0.9332,-0.5094,0.08,0.43,0.28
JSON-java,12911,5680,7030,19,182,0.4414,0.6117,0.4469,0.0945,0.9844,0.0156,0.9695,0.9845,-0.5281,0.23,0.51,0.44
http-request,4069,1361,2690,3,15,0.3352,0.5016,0.336,0.1667,0.9956,0.0044,0.9907,0.9953,-0.6555,0.27,0.44,0.36
all,169099,112959,41094,3084,11962,0.6862,0.8098,0.7332,0.205,0.911,0.089,0.8376,0.9109,-0.1514,0.24,0.41,0.35
